filename	url	temas	por	fecha	tipo_documento	largo_caracteres
file00001.txt	https://ciperchile.cl/2007/11/01/montepiados-de-capredena/		Francisca Skoknic	01.11.2007	Transparencia	1120
file00002.txt	https://ciperchile.cl/2007/11/01/montepios/	Fuerzas Armadas;Gasto fiscal;Pensiones	Francisca Skoknic	01.11.2007	Investigación	33151
file00003.txt	https://ciperchile.cl/2007/11/02/casa-de-piedra/	Allende;Clarín;Derechos Humanos;Pinochet;Volpone	Francisca Skoknic	02.11.2007	Investigación	18094
file00004.txt	https://ciperchile.cl/2007/11/02/clarin/	Allende;Clarín;Indemnización;Justicia;Prensa;Volpone	John Dinges	02.11.2007	Investigación	30433
file00005.txt	https://ciperchile.cl/2007/11/02/fanta/	Derechos Humanos;Entrevista;Justicia	Francisca Skoknic	02.11.2007	Actualidad	25837
file00006.txt	https://ciperchile.cl/2007/11/02/hogar-de-menores/	Abuso Sexual;Iglesia	Pedro Ramírez	02.11.2007	Investigación	30888
file00007.txt	https://ciperchile.cl/2007/11/02/ladron/	Corrupción;Fox;Internacional;México;Patrimonio;Transparencia	Alejandro Almazán	02.11.2007	Actualidad	12317
file00008.txt	https://ciperchile.cl/2007/11/02/marcel/	Entrevista;Gasto fiscal;Presupuestos;Subsidio;Transantiago	Pedro Ramírez	02.11.2007	Actualidad	14392
file00009.txt	https://ciperchile.cl/2007/11/02/mas-seriedad-en-las-encuestas-de-opinion-publica/	Carlos Huneeus	Carlos Huneeus	02.11.2007	Opinión	4479
file00010.txt	https://ciperchile.cl/2007/11/02/montepiados-de-dipreca/		CIPER	02.11.2007	Transparencia	1069
file00011.txt	https://ciperchile.cl/2007/11/03/armas/	Armas;Ejército;Fuerzas Armadas;Tráfico	Francisca Skoknic	03.11.2007	Investigación	31654
file00012.txt	https://ciperchile.cl/2007/11/03/declaraciones-patrimoniales/		CIPER	03.11.2007	Transparencia	575
file00013.txt	https://ciperchile.cl/2007/11/03/test/		CIPER	03.11.2007	Transparencia	1846
file00014.txt	https://ciperchile.cl/2007/11/04/el-recorte-que-mato-al-transantiago/	Estudios;Gasto fiscal;Subsidio;Transantiago;Transporte	Pedro Ramírez y Sebastián Minay	04.11.2007	Investigación	32729
file00015.txt	https://ciperchile.cl/2007/11/04/las-licitaciones-de-efe/		Francisca Skoknic	04.11.2007	Transparencia	926
file00016.txt	https://ciperchile.cl/2007/11/05/bielsa-sin-caricaturas/	Danilo Díaz Núñez	Danilo Díaz	05.11.2007	Opinión	6298
file00017.txt	https://ciperchile.cl/2007/11/05/documentos-oficiales-que-fundaron-la-indemnizacion-por-el-diario-clarin/		CIPER	05.11.2007	Transparencia	1627
file00018.txt	https://ciperchile.cl/2007/11/05/el-otro-salto-adelante-del-imperio-chino/	Marcelo Cantelmi	Marcelo Cantelmi	05.11.2007	Opinión	7560
file00019.txt	https://ciperchile.cl/2007/11/05/von-wernich-la-responsabilidad-de-la-iglesia/	Horacio Verbitsky	Horacio Verbitsky	05.11.2007	Opinión	5118
file00020.txt	https://ciperchile.cl/2007/11/12/chinochet-hoy/	Enrique Zileri;Fujimori	Enrique Zileri	12.11.2007	Opinión	6985
file00021.txt	https://ciperchile.cl/2007/11/12/el-ex-cadete-nava-que-desaparecio-misteriosamente-en-un-campamento-guerrillero-antes-de-allende/	Allende;Armada;Che Guevara;Guerrilla;Socialistas	Cristóbal Peña	12.11.2007	Investigación	43253
file00022.txt	https://ciperchile.cl/2007/11/12/horas-clave-para-la-nueva-derecha/	Pablo Longueira	Pablo Longueira	12.11.2007	Opinión	8116
file00023.txt	https://ciperchile.cl/2007/11/19/derechos-del-consumidor-y-las-brechas-en-el-mercado-del-credito/	José Roa Ramírez	José Roa	19.11.2007	Opinión	7629
file00024.txt	https://ciperchile.cl/2007/11/20/la-tentacion-de-la-plata-me-impidio-mirar-mas-alla/	Carabineros	Pedro Ramírez	20.11.2007	Actualidad	7919
file00025.txt	https://ciperchile.cl/2007/11/20/paco-ladron-delincuentes-de-uniforme/	Asaltos;Carabineros;Corrupción;Delincuencia;Justicia;Policía	Pedro Ramírez	20.11.2007	Investigación	42942
file00026.txt	https://ciperchile.cl/2007/11/20/y-no-se-calla-el-rey-tropical/	Antonio Fernández Nays	Antonio Fernández Nays	20.11.2007	Opinión	5909
file00027.txt	https://ciperchile.cl/2007/11/29/entrevista-vivianne-blanlot/	Bachelet;Discriminación;Femicidio;Mujer;Sexualidad;Trabajo;Violencia	Mónica González	29.11.2007	Actualidad	18332
file00028.txt	https://ciperchile.cl/2007/11/29/karina-delfino-pildora-dia-despues/	Bachelet;Discriminación;Femicidio;Mujer;Sexualidad;Trabajo;Violencia	Pedro Ramírez	29.11.2007	Actualidad	8386
file00029.txt	https://ciperchile.cl/2007/11/29/mujer-trabajadora-y-jefas-de-hogar/	Bachelet;Discriminación;Femicidio;Mujer;Sexualidad;Trabajo;Violencia	Mónica González y Hugo Arias	29.11.2007	Investigación	19346
file00030.txt	https://ciperchile.cl/2007/11/29/mujeres-chilenas-ciudadanos-de-segunda-categoria/		Cristóbal Peña	29.11.2007	Investigación	6807
file00031.txt	https://ciperchile.cl/2007/11/29/mujeres-y-poder/	Bachelet;Discriminación;Femicidio;Mujer;Sexualidad;Trabajo;Violencia	Pedro Ramírez y Hugo Arias	29.11.2007	Investigación	33709
file00032.txt	https://ciperchile.cl/2007/11/29/transparencia-parlamentaria/	Arturo Arriagada I.	Arturo Arriagada	29.11.2007	Opinión	4420
file00033.txt	https://ciperchile.cl/2007/11/29/vida-de-los-ex-subversivos-en-prision/	Asaltos;Cárcel;Indulto;Penitenciaría;Subversivos	Cristóbal Peña	29.11.2007	Actualidad	26158
file00034.txt	https://ciperchile.cl/2007/12/06/actas-del-transantiago-la-historia-oficial/	Buses;Gobierno;Transantiago;Transporte	CIPER	06.12.2007	Transparencia	15076
file00035.txt	https://ciperchile.cl/2007/12/06/exclusivo-viaje-al-fondo-de-la-biblioteca-de-pinochet/	bibliotecas;Napoleón;Pinochet;Riggs	Cristóbal Peña	06.12.2007	Investigación	24138
file00036.txt	https://ciperchile.cl/2007/12/06/informe-alternativo-a-la-comision-investigadora/	Buses;Gobierno;Transantiago;Transporte	CIPER	06.12.2007	Actualidad	22677
file00037.txt	https://ciperchile.cl/2007/12/06/la-guerra-contra-el-femicidio/	Bachelet;Discriminación;Femicidio;Justicia;Mujer;Sexualidad	Mónica González y Pedro Ramírez	06.12.2007	Investigación	26053
file00038.txt	https://ciperchile.cl/2007/12/06/maria-cartagena/	Derechos Humanos;Discriminación;Entrevista;Mujer;Trabajo;Violencia	Mónica González y Pedro Ramírez	06.12.2007	Actualidad	11789
file00039.txt	https://ciperchile.cl/2007/12/12/documentos-desclasificados-como-jorge-alessandri-busco-apoyo-clandestino-de-eeuu/	Alessandri;Allende;CIA;Desclasificados;Estados Unidos	Peter Kornbluh	12.12.2007	Actualidad	15790
file00040.txt	https://ciperchile.cl/2007/12/12/temporeras-eslabon-olvidado/	Abuso Sexual;Agricultura;Exportaciones;Mujer;Rural;Trabajo	CIPER	12.12.2007	Investigación	20979
file00041.txt	https://ciperchile.cl/2007/12/12/transantiago-escenarios-fracaso/	Patricio Hales;Transantiago	Patricio Hales	12.12.2007	Opinión	5370
file00042.txt	https://ciperchile.cl/2007/12/18/el-negocio-que-derribo-a-marta-ehlers/	Municipalidades;Plan Regulador;Renovacion Nacional	Sebastián Minay	18.12.2007	Investigación	22670
file00043.txt	https://ciperchile.cl/2007/12/19/modificacion-del-plan-regulador-de-nunoa-gano-el-negocio-inmobiliario/	Danae;Municipalidades;Ñuñoa;Plan Regulador	Danae Mlynarz	19.12.2007	Opinión	5139
file00044.txt	https://ciperchile.cl/2007/12/19/patricia-politzer-enjuicia-primera-cuenta-de-responsabilidad-social-del-ejercito/	Defensa;Ejército;Patricia Politzer;Responsabilidad Social;Transparencia	Patricia Politzer	19.12.2007	Opinión	18207
file00045.txt	https://ciperchile.cl/2008/01/04/familia-placer-sexual/	Aborto;Mujer;Sexualidad	Cristóbal Peña	04.01.2008	Investigación	17559
file00046.txt	https://ciperchile.cl/2008/01/04/los-efectos-del-perdonazo-migratorio-salud-publica-espera-mas-de-30-mil-nuevos-usuarios/	Abuso Sexual;Discriminación;inmigrantes;Peruanos;Salud	Francisca Skoknic	04.01.2008	Investigación	33859
file00047.txt	https://ciperchile.cl/2008/01/04/minsal-recien-recoge-datos-sobre-la-inmigracion-peruana/	Abuso Sexual;inmigrantes;Peruanos;Salud	Francisca Skoknic	04.01.2008	Transparencia	975
file00048.txt	https://ciperchile.cl/2008/01/17/inmigrantes-ii-trabajadores-sacan-la-voz-y-duplican-denuncias-por-abusos-laborales/	Abuso Sexual;Discriminación;inmigrantes;Peruanos;Trabajo	Pedro Ramírez	17.01.2008	Investigación	30092
file00049.txt	https://ciperchile.cl/2008/01/18/el-fenomeno-huckabee/	Elecciones;Estados Unidos	John Dinges	18.01.2008	Opinión	9864
file00050.txt	https://ciperchile.cl/2008/02/01/elecciones-en-eeuu-obama-con-la-antorcha-de-los-kennedy/	Elecciones;Estados Unidos	John Dinges	01.02.2008	Opinión	8940
file00051.txt	https://ciperchile.cl/2008/02/01/falabella-pro-la-huelga-de-hambre-que-alerto-al-retail/	Abuso Sexual;Comercio;Falabella;Huelga;Trabajo	Francisca Skoknic	01.02.2008	Actualidad	17134
file00052.txt	https://ciperchile.cl/2008/02/05/ultima-hora-falabella-pro-y-sindicato-firman-acuerdo/	Abuso Sexual;Comercio;Falabella;Huelga;Trabajo	Francisca Skoknic	05.02.2008	Actualidad	2241
file00053.txt	https://ciperchile.cl/2008/02/07/mirando-el-factor-latino/	Elecciones;Estados Unidos	John Dinges	07.02.2008	Opinión	5688
file00054.txt	https://ciperchile.cl/2008/02/07/radiografia-del-crimen-como-donde-y-por-que-se-mata-en-el-gran-santiago/	Asesinatos;Femicidio;Justicia;Violencia	Cristóbal Peña	07.02.2008	Investigación	26804
file00055.txt	https://ciperchile.cl/2008/02/14/se-necesita-muchacha/	Abuso Sexual;Discriminación;Perú;Trabajo	Rocío Silva Santisteban	14.02.2008	Investigación	18914
file00056.txt	https://ciperchile.cl/2008/02/21/la-tentacion-mccain/	Elecciones;Estados Unidos	John Dinges	21.02.2008	Opinión	9586
file00057.txt	https://ciperchile.cl/2008/03/06/esta-reforma-educacional-no-se-ha-pronunciado-sobre-los-docentes/	Educación	Paulina Bozh y Nicole Cantillana	06.03.2008	Actualidad	10527
file00058.txt	https://ciperchile.cl/2008/03/06/hay-salida-para-el-partido-democrata/	Elecciones;Estados Unidos	John Dinges	06.03.2008	Opinión	6853
file00059.txt	https://ciperchile.cl/2008/03/06/la-cara-sucia-de-la-educacion/	Educación;Niños;Pobreza	Paulina Bozh y Nicole Cantillana	06.03.2008	Actualidad	40324
file00060.txt	https://ciperchile.cl/2008/03/06/los-sueldos-del-retail/	Abuso Sexual;Comercio;Retail;Salarios;Trabajo	Francisca Skoknic	06.03.2008	Investigación	29661
file00061.txt	https://ciperchile.cl/2008/03/10/comunicar-con-voz-de-mujer/	Bachelet;Comunicación;Mujer	Francisca Skoknic	10.03.2008	Actualidad	28000
file00062.txt	https://ciperchile.cl/2008/03/13/las-mil-y-una-razones-sociales-que-fragmentan-a-los-trabajadores/	Abuso Sexual;Comercio;Retail;Salarios;Trabajo	Francisca Skoknic	13.03.2008	Investigación	25213
file00063.txt	https://ciperchile.cl/2008/03/17/graves-irregularidades-en-millonaria-licitacion-del-registro-civil/	Contraloría;Registro Civil;Tecnología;Transparencia	Cristóbal Peña y Mónica González	17.03.2008	Investigación	35655
file00064.txt	https://ciperchile.cl/2008/03/19/registro-civil-nuevas-denuncias-refuerzan-tesis-de-coimas/	Contraloría;Registro Civil;Tecnología;Transparencia	Cristóbal Peña	19.03.2008	Actualidad	6679
file00065.txt	https://ciperchile.cl/2008/03/20/cae-la-cupula-del-registro-civil/	Contraloría;Registro Civil;Tecnología;Transparencia	CIPER	20.03.2008	Actualidad	2818
file00066.txt	https://ciperchile.cl/2008/03/27/registro-civil-maria-isabel-moya-la-mujer-que-sabe-demasiado/	Contraloría;Registro Civil;Tecnología;Transparencia	Cristóbal Peña y Francisca Skoknic	27.03.2008	Investigación	7575
file00067.txt	https://ciperchile.cl/2008/04/04/chile-un-pais-abortero/	Aborto;Mujer;Sexualidad	Juan Pablo Figueroa	04.04.2008	Investigación	8796
file00068.txt	https://ciperchile.cl/2008/04/04/mujer-presa-por-aborto-del-hospital-me-trajeron-a-la-carcel/	Aborto;Entrevista;Mujer;Sexualidad	Juan Pablo Figueroa	04.04.2008	Investigación	19718
file00069.txt	https://ciperchile.cl/2008/04/04/se-puede-confiar-en-lo-que-dice-the-new-york-times/	Estados Unidos;Periodismo	John Dinges	04.04.2008	Opinión	7469
file00070.txt	https://ciperchile.cl/2008/04/17/el-oscuro-legado-del-ex-director-del-registro-civil-en-la-%e2%80%9ctia-rica%e2%80%9d/	Contraloría;Crédito;Dicrep;Registro Civil;Transparencia	Cristóbal Peña y Francisca Skoknic	17.04.2008	Investigación	25092
file00071.txt	https://ciperchile.cl/2008/04/17/grandes-tiendas-iii-asi-viven-los-trabajadores-de-argentina-y-peru-la-exportacion-del-modelo-chileno/	Abuso Sexual;Argentina;Comercio;Perú;Retail;Salarios;Trabajo	Francisca Skoknic	17.04.2008	Investigación	12010
file00072.txt	https://ciperchile.cl/2008/04/23/las-cuentas-de-la-dicrep/		Cristóbal Peña	23.04.2008	Transparencia	1013
file00073.txt	https://ciperchile.cl/2008/04/24/controlando-la-corrupcion/	Corrupción;Empresas;Harald Beyer;Registro Civil;Transparencia	Harald Beyer	24.04.2008	Opinión	6590
file00074.txt	https://ciperchile.cl/2008/04/24/el-polemico-proyecto-de-microsoft-que-naufrago-en-el-registro-civil/	Registro Civil;Tecnología;Transparencia;Universidades	Francisca Skoknic	24.04.2008	Investigación	15687
file00075.txt	https://ciperchile.cl/2008/04/24/juan-gelman-al-rescate-de-la-memoria-historica/	Derechos Humanos;Horacio Verbitsky;Justicia;Literatura	Horacio Verbitsky	24.04.2008	Actualidad	15485
